"Id","Name","Full Name","Effects"
"007a0c60","MILE_BrahminUpgradePerk_ReflectiveArmor02","Reflective Armor 02","[{'e_type': 'Function', 'entry': 'RicochetChance', 'op': 'AddValue', 'v_type': 1, 'value': 0.10000000149011612}]"
"007a0c5f","MILE_BrahminUpgradePerk_ReflectiveArmor01","Reflective Armor 01","[{'e_type': 'Function', 'entry': 'RicochetChance', 'op': 'AddValue', 'v_type': 1, 'value': 0.05000000074505806}]"
"007a0c5e","MILE_BrahminUpgradePerk_HealthRegen01","","[{'e_type': 'Function', 'entry': 'ApplyCombatHitSpell', 'op': 'SetSpell', 'v_type': 5, 'value': {'id': '007a0c61', 'name': 'MILE_BrahminUpgradeSpell_HealthRegen01', 'full': '', 'type': 'Spell', 'time': 0.0, 'e_type': 'Fire', 'target': 'Self', 'duration': 0.0, 'range': 0.0, 'perk': '00000000', 'mag_effects': [{'m_effect': {'id': '00023735', 'name': 'RestoreHealthGeneric', 'full': 'Restore Health', 'keywords': [], 'resist': '00000000', 'actor_value1': {'id': '000002d4', 'name': 'Health', 'full': 'Health'}, 'projectile': '00000000', 'explosion': '00000000', 'a_type': 'ValueMod', 'e_type': 'Fire', 'target': 'Self', 'actor_value2': '00000000', 'ability': '00000000', 'perk': '00000000'}, 'magnitude': 10.0, 'area': 0, 'duration': 0, 'actor': '', 'glob_duration': '', 'glob_magnitude': '', 'd_curv': ''}]}}]"
"00795446","Storm_MQ08_HallucGas_ShadowPerk","","[{'e_type': 'Function', 'entry': 'KillExp', 'op': 'MulValue', 'v_type': 1, 'value': 0.0}, {'e_type': 'Function', 'entry': 'WeaponAttackDamage?', 'op': 'MulValue', 'v_type': 1, 'value': 0.009999999776482582}]"
"00793524","MILE_Caravan_Tier02_DamageResistPerk","Tier 2 Damage Resist","[{'e_type': 'Ability', 'v_type': 0, 'spell': {'id': '00793526', 'name': 'MILE_Caravan_Tier02_AbDamageResist', 'full': '', 'type': 'Ability', 'time': 0.0, 'e_type': 'Constant', 'target': 'Self', 'duration': 0.0, 'range': 0.0, 'perk': '00000000', 'mag_effects': [{'m_effect': {'id': '003dc3a0', 'name': 'abFortifyDamageAll', 'full': 'Fortify All Damage', 'keywords': [], 'resist': '00000000', 'actor_value1': {'id': '0018eee1', 'name': 'STAT_DmgAll', 'full': 'Damage'}, 'projectile': '00000000', 'explosion': '00000000', 'a_type': 'PValueMod', 'e_type': 'Constant', 'target': 'Self', 'actor_value2': '00000000', 'ability': '00000000', 'perk': '00000000'}, 'magnitude': 25.0, 'area': 0, 'duration': 0, 'actor': '', 'glob_duration': '', 'glob_magnitude': '', 'd_curv': ''}, {'m_effect': {'id': '0004a0ac', 'name': 'AbPerkFortifyResistDamage', 'full': 'Fortify Damage Resist', 'keywords': [], 'resist': '00000000', 'actor_value1': {'id': '000002e3', 'name': 'DamageResist', 'full': 'Damage Resistance'}, 'projectile': '00000000', 'explosion': '00000000', 'a_type': 'PValueMod', 'e_type': 'Constant', 'target': 'Self', 'actor_value2': '00000000', 'ability': '00000000', 'perk': '00000000'}, 'magnitude': 0.0, 'area': 0, 'duration': 0, 'actor': '', 'glob_duration': '', 'glob_magnitude': {'id': '0079351f', 'name': 'MILE_CaravanEscort_Tier02_DmgResist', 'value': 200.0}, 'd_curv': ''}, {'m_effect': {'id': '000559a4', 'name': 'AbPerkFortifyResistEnergy', 'full': 'Fortify Energy Resist', 'keywords': [], 'resist': '00000000', 'actor_value1': {'id': '000002eb', 'name': 'EnergyResist', 'full': 'Energy Resistance'}, 'projectile': '00000000', 'explosion': '00000000', 'a_type': 'PValueMod', 'e_type': 'Constant', 'target': 'Self', 'actor_value2': '00000000', 'ability': '00000000', 'perk': '00000000'}, 'magnitude': 0.0, 'area': 0, 'duration': 0, 'actor': '', 'glob_duration': '', 'glob_magnitude': {'id': '0079351f', 'name': 'MILE_CaravanEscort_Tier02_DmgResist', 'value': 200.0}, 'd_curv': ''}, {'m_effect': {'id': '0004d86e', 'name': 'AbPerkFortifyResistFire', 'full': 'Fortify Fire Resist', 'keywords': [], 'resist': '00000000', 'actor_value1': {'id': '000002e5', 'name': 'FireResist', 'full': 'Fire Resistance'}, 'projectile': '00000000', 'explosion': '00000000', 'a_type': 'PValueMod', 'e_type': 'Constant', 'target': 'Self', 'actor_value2': '00000000', 'ability': '00000000', 'perk': '00000000'}, 'magnitude': 0.0, 'area': 0, 'duration': 0, 'actor': '', 'glob_duration': '', 'glob_magnitude': {'id': '0079351f', 'name': 'MILE_CaravanEscort_Tier02_DmgResist', 'value': 200.0}, 'd_curv': ''}, {'m_effect': {'id': '0062b799', 'name': 'AbPerkFortifyResistCryo', 'full': 'Fortify Cryo Resist', 'keywords': [], 'resist': '00000000', 'actor_value1': {'id': '000002e7', 'name': 'FrostResist', 'full': 'Cryo Resistance'}, 'projectile': '00000000', 'explosion': '00000000', 'a_type': 'PValueMod', 'e_type': 'Constant', 'target': 'Self', 'actor_value2': '00000000', 'ability': '00000000', 'perk': '00000000'}, 'magnitude': 0.0, 'area': 0, 'duration': 0, 'actor': '', 'glob_duration': '', 'glob_magnitude': {'id': '0079351f', 'name': 'MILE_CaravanEscort_Tier02_DmgResist', 'value': 200.0}, 'd_curv': ''}, {'m_effect': {'id': '0004d86b', 'name': 'AbPerkFortifyResistPoison', 'full': 'Fortify Poison Resist', 'keywords': [], 'resist': '00000000', 'actor_value1': {'id': '000002e4', 'name': 'PoisonResist', 'full': 'Poison Resistance'}, 'projectile': '00000000', 'explosion': '00000000', 'a_type': 'PValueMod', 'e_type': 'Constant', 'target': 'Self', 'actor_value2': '00000000', 'ability': '00000000', 'perk': '00000000'}, 'magnitude': 0.0, 'area': 0, 'duration': 0, 'actor': '', 'glob_duration': '', 'glob_magnitude': {'id': '0079351f', 'name': 'MILE_CaravanEscort_Tier02_DmgResist', 'value': 200.0}, 'd_curv': ''}]}}]"
"00793523","MILE_Caravan_Tier03_DamageResistPerk","Tier 3 Damage Resist","[{'e_type': 'Ability', 'v_type': 0, 'spell': {'id': '00793525', 'name': 'MILE_Caravan_Tier03_AbDamageResist', 'full': '', 'type': 'Ability', 'time': 0.0, 'e_type': 'Constant', 'target': 'Self', 'duration': 0.0, 'range': 0.0, 'perk': '00000000', 'mag_effects': [{'m_effect': {'id': '003dc3a0', 'name': 'abFortifyDamageAll', 'full': 'Fortify All Damage', 'keywords': [], 'resist': '00000000', 'actor_value1': {'id': '0018eee1', 'name': 'STAT_DmgAll', 'full': 'Damage'}, 'projectile': '00000000', 'explosion': '00000000', 'a_type': 'PValueMod', 'e_type': 'Constant', 'target': 'Self', 'actor_value2': '00000000', 'ability': '00000000', 'perk': '00000000'}, 'magnitude': 25.0, 'area': 0, 'duration': 0, 'actor': '', 'glob_duration': '', 'glob_magnitude': '', 'd_curv': ''}, {'m_effect': {'id': '0004a0ac', 'name': 'AbPerkFortifyResistDamage', 'full': 'Fortify Damage Resist', 'keywords': [], 'resist': '00000000', 'actor_value1': {'id': '000002e3', 'name': 'DamageResist', 'full': 'Damage Resistance'}, 'projectile': '00000000', 'explosion': '00000000', 'a_type': 'PValueMod', 'e_type': 'Constant', 'target': 'Self', 'actor_value2': '00000000', 'ability': '00000000', 'perk': '00000000'}, 'magnitude': 0.0, 'area': 0, 'duration': 0, 'actor': '', 'glob_duration': '', 'glob_magnitude': {'id': '00793519', 'name': 'MILE_CaravanEscort_Tier03_DmgResist', 'value': 800.0}, 'd_curv': ''}, {'m_effect': {'id': '000559a4', 'name': 'AbPerkFortifyResistEnergy', 'full': 'Fortify Energy Resist', 'keywords': [], 'resist': '00000000', 'actor_value1': {'id': '000002eb', 'name': 'EnergyResist', 'full': 'Energy Resistance'}, 'projectile': '00000000', 'explosion': '00000000', 'a_type': 'PValueMod', 'e_type': 'Constant', 'target': 'Self', 'actor_value2': '00000000', 'ability': '00000000', 'perk': '00000000'}, 'magnitude': 0.0, 'area': 0, 'duration': 0, 'actor': '', 'glob_duration': '', 'glob_magnitude': {'id': '00793519', 'name': 'MILE_CaravanEscort_Tier03_DmgResist', 'value': 800.0}, 'd_curv': ''}, {'m_effect': {'id': '0004d86e', 'name': 'AbPerkFortifyResistFire', 'full': 'Fortify Fire Resist', 'keywords': [], 'resist': '00000000', 'actor_value1': {'id': '000002e5', 'name': 'FireResist', 'full': 'Fire Resistance'}, 'projectile': '00000000', 'explosion': '00000000', 'a_type': 'PValueMod', 'e_type': 'Constant', 'target': 'Self', 'actor_value2': '00000000', 'ability': '00000000', 'perk': '00000000'}, 'magnitude': 0.0, 'area': 0, 'duration': 0, 'actor': '', 'glob_duration': '', 'glob_magnitude': {'id': '00793519', 'name': 'MILE_CaravanEscort_Tier03_DmgResist', 'value': 800.0}, 'd_curv': ''}, {'m_effect': {'id': '0062b799', 'name': 'AbPerkFortifyResistCryo', 'full': 'Fortify Cryo Resist', 'keywords': [], 'resist': '00000000', 'actor_value1': {'id': '000002e7', 'name': 'FrostResist', 'full': 'Cryo Resistance'}, 'projectile': '00000000', 'explosion': '00000000', 'a_type': 'PValueMod', 'e_type': 'Constant', 'target': 'Self', 'actor_value2': '00000000', 'ability': '00000000', 'perk': '00000000'}, 'magnitude': 0.0, 'area': 0, 'duration': 0, 'actor': '', 'glob_duration': '', 'glob_magnitude': {'id': '00793519', 'name': 'MILE_CaravanEscort_Tier03_DmgResist', 'value': 800.0}, 'd_curv': ''}, {'m_effect': {'id': '0004d86b', 'name': 'AbPerkFortifyResistPoison', 'full': 'Fortify Poison Resist', 'keywords': [], 'resist': '00000000', 'actor_value1': {'id': '000002e4', 'name': 'PoisonResist', 'full': 'Poison Resistance'}, 'projectile': '00000000', 'explosion': '00000000', 'a_type': 'PValueMod', 'e_type': 'Constant', 'target': 'Self', 'actor_value2': '00000000', 'ability': '00000000', 'perk': '00000000'}, 'magnitude': 0.0, 'area': 0, 'duration': 0, 'actor': '', 'glob_duration': '', 'glob_magnitude': {'id': '00793519', 'name': 'MILE_CaravanEscort_Tier03_DmgResist', 'value': 800.0}, 'd_curv': ''}]}}]"
"00787e9e","Storm_E01_BossBabyPerk","","[{'e_type': 'Function', 'entry': 'Stagger', 'op': 'SetValue', 'v_type': 1, 'value': 0.0}, {'e_type': 'Function', 'entry': 'WeaponAttackDamage?', 'op': 'MulValue', 'v_type': 1, 'value': 3.0}]"
"00783157","Storm_MQ08_LostPerk","Empowered Lost Perk","[{'e_type': 'Function', 'entry': 'WeaponDamage?', 'op': 'MulValue', 'v_type': 1, 'value': 0.30000001192092896}, {'e_type': 'Function', 'entry': 'Stagger', 'op': 'SetValue', 'v_type': 1, 'value': 0.0}, {'e_type': 'Function', 'entry': 'WeaponAttackDamage?', 'op': 'MulValue', 'v_type': 1, 'value': 1.5}]"
"0078025c","crStormBoss_DamageReductionPerk03","Storm Region Boss Damage Mitigation","[{'e_type': 'Function', 'entry': 'WeaponDamage?', 'op': 'MulValue', 'v_type': 1, 'value': 0.0}, {'e_type': 'Function', 'entry': 'WeaponDamage?', 'op': 'MulValue', 'v_type': 1, 'value': 0.4000000059604645}]"
"0078025b","crStormBoss_DamageReductionPerk02","Storm Region Boss Damage Mitigation","[{'e_type': 'Function', 'entry': 'WeaponDamage?', 'op': 'MulValue', 'v_type': 1, 'value': 0.6000000238418579}, {'e_type': 'Function', 'entry': 'WeaponDamage?', 'op': 'MulValue', 'v_type': 1, 'value': 0.0}]"
