"Id","Name","Full Name","Type","Time","Activity","Target","Duration","Range","Perk","Effects"
"007a0c61","MILE_BrahminUpgradeSpell_HealthRegen01","","Spell",0.0,"Fire","Self",0.0,0.0,"00000000","[{'m_effect': {'id': '00023735', 'name': 'RestoreHealthGeneric', 'full': 'Restore Health', 'keywords': [], 'd_type': '00000000', 'resist': '00000000', 'actor_value1': {'id': '000002d4', 'name': 'Health', 'full': 'Health'}, 'projectile': '00000000', 'explosion': '00000000', 'a_type': 'ValueMod', 'e_type': 'Fire', 'target': 'Self', 'actor_value2': '00000000', 'ability': '00000000', 'perk': '00000000'}, 'magnitude': 10.0, 'area': 0, 'duration': 0, 'actor': '', 'glob_duration': '', 'glob_magnitude': '', 'd_curv': '', 'only_player': 'No'}]"
"0079c8a9","PerkMedicSpell","Medic","Spell",0.0,"Fire","Self",0.0,0.0,"003e956a","[{'m_effect': {'id': '001f109e', 'name': 'Legendary_Medic', 'full': 'Medic', 'keywords': [], 'd_type': '00000000', 'resist': '00000000', 'actor_value1': '00000000', 'projectile': '00000000', 'explosion': '00000000', 'a_type': 'Stimpack', 'e_type': 'Fire', 'target': 'Self', 'actor_value2': '00000000', 'ability': '00000000', 'perk': '00000000'}, 'magnitude': 5.0, 'area': 0, 'duration': 1, 'actor': '', 'glob_duration': '', 'glob_magnitude': '', 'd_curv': '', 'only_player': 'No'}]"
"0079182a","Storm_RegionBoss_ElectricalHazardStrong","Strong Electricity","Spell",0.0,"Concentration","Contact",0.0,0.0,"00000000","[{'m_effect': {'id': '006edfc2', 'name': 'ElectricalHazardEffect', 'full': 'Energy Damage', 'keywords': ['DamageTypeEnergy'], 'd_type': {'id': '00060a81', 'name': 'dtEnergy', 'full': 'Energy Damage'}, 'resist': {'id': '000002eb', 'name': 'EnergyResist', 'full': 'Energy Resistance'}, 'actor_value1': '00000000', 'projectile': '00000000', 'explosion': '00000000', 'a_type': 'Damage', 'e_type': 'Concentration', 'target': 'Contact', 'actor_value2': '00000000', 'ability': '00000000', 'perk': '00000000'}, 'magnitude': 0.0, 'area': 0, 'duration': 1, 'actor': '', 'glob_duration': {'id': '006edfbf', 'name': 'SURV_DamageElec_Duration_Hazard', 'value': 1.0}, 'glob_magnitude': {'id': '0076caa6', 'name': 'SURV_DamageElec_Magnitude_4_Moderate', 'value': 30.0}, 'd_curv': '', 'only_player': 'No'}, {'m_effect': {'id': '006edfc2', 'name': 'ElectricalHazardEffect', 'full': 'Energy Damage', 'keywords': ['DamageTypeEnergy'], 'd_type': {'id': '00060a81', 'name': 'dtEnergy', 'full': 'Energy Damage'}, 'resist': {'id': '000002eb', 'name': 'EnergyResist', 'full': 'Energy Resistance'}, 'actor_value1': '00000000', 'projectile': '00000000', 'explosion': '00000000', 'a_type': 'Damage', 'e_type': 'Concentration', 'target': 'Contact', 'actor_value2': '00000000', 'ability': '00000000', 'perk': '00000000'}, 'magnitude': 0.0, 'area': 0, 'duration': 1, 'actor': '', 'glob_duration': {'id': '006edfbf', 'name': 'SURV_DamageElec_Duration_Hazard', 'value': 1.0}, 'glob_magnitude': {'id': '0076caa6', 'name': 'SURV_DamageElec_Magnitude_4_Moderate', 'value': 30.0}, 'd_curv': '', 'only_player': 'No'}, {'m_effect': {'id': '00751c86', 'name': 'Storm_ElectricalDamge_Shocked_Accuracy_HazardOnly', 'full': 'Reduced Accuracy', 'keywords': ['DamageTypeEnergy'], 'd_type': '00000000', 'resist': '00000000', 'actor_value1': {'id': '003c4036', 'name': 'STAT_GunAccuracy', 'full': 'Gun Accuracy'}, 'projectile': '00000000', 'explosion': '00000000', 'a_type': 'ValueMod', 'e_type': 'Concentration', 'target': 'Contact', 'actor_value2': '00000000', 'ability': '00000000', 'perk': '00000000'}, 'magnitude': 500.0, 'area': 0, 'duration': 1, 'actor': '', 'glob_duration': '', 'glob_magnitude': '', 'd_curv': '', 'only_player': 'No'}]"
"0079182b","Storm_RegionBoss_ElectricalHazardLight","Neuro Warfare: Light Electricity","Spell",0.0,"Concentration","Contact",0.0,0.0,"00000000","[{'m_effect': {'id': '006edfc2', 'name': 'ElectricalHazardEffect', 'full': 'Energy Damage', 'keywords': ['DamageTypeEnergy'], 'd_type': {'id': '00060a81', 'name': 'dtEnergy', 'full': 'Energy Damage'}, 'resist': {'id': '000002eb', 'name': 'EnergyResist', 'full': 'Energy Resistance'}, 'actor_value1': '00000000', 'projectile': '00000000', 'explosion': '00000000', 'a_type': 'Damage', 'e_type': 'Concentration', 'target': 'Contact', 'actor_value2': '00000000', 'ability': '00000000', 'perk': '00000000'}, 'magnitude': 0.0, 'area': 0, 'duration': 1, 'actor': '', 'glob_duration': {'id': '006edfbf', 'name': 'SURV_DamageElec_Duration_Hazard', 'value': 1.0}, 'glob_magnitude': {'id': '006edfc0', 'name': 'SURV_DamageElec_Magnitude_2_Weak', 'value': 10.0}, 'd_curv': '', 'only_player': 'No'}, {'m_effect': {'id': '006edfc2', 'name': 'ElectricalHazardEffect', 'full': 'Energy Damage', 'keywords': ['DamageTypeEnergy'], 'd_type': {'id': '00060a81', 'name': 'dtEnergy', 'full': 'Energy Damage'}, 'resist': {'id': '000002eb', 'name': 'EnergyResist', 'full': 'Energy Resistance'}, 'actor_value1': '00000000', 'projectile': '00000000', 'explosion': '00000000', 'a_type': 'Damage', 'e_type': 'Concentration', 'target': 'Contact', 'actor_value2': '00000000', 'ability': '00000000', 'perk': '00000000'}, 'magnitude': 0.0, 'area': 0, 'duration': 1, 'actor': '', 'glob_duration': {'id': '006edfbf', 'name': 'SURV_DamageElec_Duration_Hazard', 'value': 1.0}, 'glob_magnitude': {'id': '006edfc0', 'name': 'SURV_DamageElec_Magnitude_2_Weak', 'value': 10.0}, 'd_curv': '', 'only_player': 'No'}, {'m_effect': {'id': '00751c86', 'name': 'Storm_ElectricalDamge_Shocked_Accuracy_HazardOnly', 'full': 'Reduced Accuracy', 'keywords': ['DamageTypeEnergy'], 'd_type': '00000000', 'resist': '00000000', 'actor_value1': {'id': '003c4036', 'name': 'STAT_GunAccuracy', 'full': 'Gun Accuracy'}, 'projectile': '00000000', 'explosion': '00000000', 'a_type': 'ValueMod', 'e_type': 'Concentration', 'target': 'Contact', 'actor_value2': '00000000', 'ability': '00000000', 'perk': '00000000'}, 'magnitude': 150.0, 'area': 0, 'duration': 1, 'actor': '', 'glob_duration': '', 'glob_magnitude': '', 'd_curv': '', 'only_player': 'No'}]"
"00790e0d","ElectricalHazardFatal","erials. They used WOODEN supports for goodness sake! How anyone would expect these not to dry-rot under these conditions is absolutely beyond me.

I've recommended that all seven remaining Disposal Cells receive metal reinforcements immediately. Beyond that, we've lost 30 of the 55-gallon drums of waste in the collapse, and they're likely seeping into the ground water.

It's absolutely infuriating that this facility was constructed so poorly. I think I'll have a nice, long chat with my supervisor back in D.C.","Spell",0.0,"Concentration","Contact",0.0,0.0,"00000000","[{'m_effect': {'id': '006edfc2', 'name': 'ElectricalHazardEffect', 'full': 'Energy Damage', 'keywords': ['DamageTypeEnergy'], 'd_type': {'id': '00060a81', 'name': 'dtEnergy', 'full': 'Energy Damage'}, 'resist': {'id': '000002eb', 'name': 'EnergyResist', 'full': 'Energy Resistance'}, 'actor_value1': '00000000', 'projectile': '00000000', 'explosion': '00000000', 'a_type': 'Damage', 'e_type': 'Concentration', 'target': 'Contact', 'actor_value2': '00000000', 'ability': '00000000', 'perk': '00000000'}, 'magnitude': 0.0, 'area': 0, 'duration': 1, 'actor': '', 'glob_duration': {'id': '006edfbf', 'name': 'SURV_DamageElec_Duration_Hazard', 'value': 1.0}, 'glob_magnitude': {'id': '00790e01', 'name': 'SURV_DamageElec_Magnitude_7_Fatal', 'value': 250.0}, 'd_curv': '', 'only_player': 'No'}, {'m_effect': {'id': '006edfc2', 'name': 'ElectricalHazardEffect', 'full': 'Energy Damage', 'keywords': ['DamageTypeEnergy'], 'd_type': {'id': '00060a81', 'name': 'dtEnergy', 'full': 'Energy Damage'}, 'resist': {'id': '000002eb', 'name': 'EnergyResist', 'full': 'Energy Resistance'}, 'actor_value1': '00000000', 'projectile': '00000000', 'explosion': '00000000', 'a_type': 'Damage', 'e_type': 'Concentration', 'target': 'Contact', 'actor_value2': '00000000', 'ability': '00000000', 'perk': '00000000'}, 'magnitude': 0.0, 'area': 0, 'duration': 1, 'actor': '', 'glob_duration': {'id': '006edfbf', 'name': 'SURV_DamageElec_Duration_Hazard', 'value': 1.0}, 'glob_magnitude': {'id': '00790e01', 'name': 'SURV_DamageElec_Magnitude_7_Fatal', 'value': 250.0}, 'd_curv': '', 'only_player': 'No'}, {'m_effect': {'id': '00751c86', 'name': 'Storm_ElectricalDamge_Shocked_Accuracy_HazardOnly', 'full': 'Reduced Accuracy', 'keywords': ['DamageTypeEnergy'], 'd_type': '00000000', 'resist': '00000000', 'actor_value1': {'id': '003c4036', 'name': 'STAT_GunAccuracy', 'full': 'Gun Accuracy'}, 'projectile': '00000000', 'explosion': '00000000', 'a_type': 'ValueMod', 'e_type': 'Concentration', 'target': 'Contact', 'actor_value2': '00000000', 'ability': '00000000', 'perk': '00000000'}, 'magnitude': 500.0, 'area': 0, 'duration': 1, 'actor': '', 'glob_duration': '', 'glob_magnitude': '', 'd_curv': '', 'only_player': 'No'}]"
"00793526","MILE_Caravan_Tier02_AbDamageResist","","Ability",0.0,"Constant","Self",0.0,0.0,"00000000","[{'m_effect': {'id': '003dc3a0', 'name': 'abFortifyDamageAll', 'full': 'Fortify All Damage', 'keywords': [], 'd_type': '00000000', 'resist': '00000000', 'actor_value1': {'id': '0018eee1', 'name': 'STAT_DmgAll', 'full': 'Damage'}, 'projectile': '00000000', 'explosion': '00000000', 'a_type': 'PValueMod', 'e_type': 'Constant', 'target': 'Self', 'actor_value2': '00000000', 'ability': '00000000', 'perk': '00000000'}, 'magnitude': 25.0, 'area': 0, 'duration': 0, 'actor': '', 'glob_duration': '', 'glob_magnitude': '', 'd_curv': '', 'only_player': 'No'}, {'m_effect': {'id': '0004a0ac', 'name': 'AbPerkFortifyResistDamage', 'full': 'Fortify Damage Resist', 'keywords': [], 'd_type': '00000000', 'resist': '00000000', 'actor_value1': {'id': '000002e3', 'name': 'DamageResist', 'full': 'Damage Resistance'}, 'projectile': '00000000', 'explosion': '00000000', 'a_type': 'PValueMod', 'e_type': 'Constant', 'target': 'Self', 'actor_value2': '00000000', 'ability': '00000000', 'perk': '00000000'}, 'magnitude': 0.0, 'area': 0, 'duration': 0, 'actor': '', 'glob_duration': '', 'glob_magnitude': {'id': '0079351f', 'name': 'MILE_CaravanEscort_Tier02_DmgResist', 'value': 200.0}, 'd_curv': '', 'only_player': 'No'}, {'m_effect': {'id': '000559a4', 'name': 'AbPerkFortifyResistEnergy', 'full': 'Fortify Energy Resist', 'keywords': [], 'd_type': '00000000', 'resist': '00000000', 'actor_value1': {'id': '000002eb', 'name': 'EnergyResist', 'full': 'Energy Resistance'}, 'projectile': '00000000', 'explosion': '00000000', 'a_type': 'PValueMod', 'e_type': 'Constant', 'target': 'Self', 'actor_value2': '00000000', 'ability': '00000000', 'perk': '00000000'}, 'magnitude': 0.0, 'area': 0, 'duration': 0, 'actor': '', 'glob_duration': '', 'glob_magnitude': {'id': '0079351f', 'name': 'MILE_CaravanEscort_Tier02_DmgResist', 'value': 200.0}, 'd_curv': '', 'only_player': 'No'}, {'m_effect': {'id': '0004d86e', 'name': 'AbPerkFortifyResistFire', 'full': 'Fortify Fire Resist', 'keywords': [], 'd_type': '00000000', 'resist': '00000000', 'actor_value1': {'id': '000002e5', 'name': 'FireResist', 'full': 'Fire Resistance'}, 'projectile': '00000000', 'explosion': '00000000', 'a_type': 'PValueMod', 'e_type': 'Constant', 'target': 'Self', 'actor_value2': '00000000', 'ability': '00000000', 'perk': '00000000'}, 'magnitude': 0.0, 'area': 0, 'duration': 0, 'actor': '', 'glob_duration': '', 'glob_magnitude': {'id': '0079351f', 'name': 'MILE_CaravanEscort_Tier02_DmgResist', 'value': 200.0}, 'd_curv': '', 'only_player': 'No'}, {'m_effect': {'id': '0062b799', 'name': 'AbPerkFortifyResistCryo', 'full': 'Fortify Cryo Resist', 'keywords': [], 'd_type': '00000000', 'resist': '00000000', 'actor_value1': {'id': '000002e7', 'name': 'FrostResist', 'full': 'Cryo Resistance'}, 'projectile': '00000000', 'explosion': '00000000', 'a_type': 'PValueMod', 'e_type': 'Constant', 'target': 'Self', 'actor_value2': '00000000', 'ability': '00000000', 'perk': '00000000'}, 'magnitude': 0.0, 'area': 0, 'duration': 0, 'actor': '', 'glob_duration': '', 'glob_magnitude': {'id': '0079351f', 'name': 'MILE_CaravanEscort_Tier02_DmgResist', 'value': 200.0}, 'd_curv': '', 'only_player': 'No'}, {'m_effect': {'id': '0004d86b', 'name': 'AbPerkFortifyResistPoison', 'full': 'Fortify Poison Resist', 'keywords': [], 'd_type': '00000000', 'resist': '00000000', 'actor_value1': {'id': '000002e4', 'name': 'PoisonResist', 'full': 'Poison Resistance'}, 'projectile': '00000000', 'explosion': '00000000', 'a_type': 'PValueMod', 'e_type': 'Constant', 'target': 'Self', 'actor_value2': '00000000', 'ability': '00000000', 'perk': '00000000'}, 'magnitude': 0.0, 'area': 0, 'duration': 0, 'actor': '', 'glob_duration': '', 'glob_magnitude': {'id': '0079351f', 'name': 'MILE_CaravanEscort_Tier02_DmgResist', 'value': 200.0}, 'd_curv': '', 'only_player': 'No'}]"
"00793525","MILE_Caravan_Tier03_AbDamageResist","","Ability",0.0,"Constant","Self",0.0,0.0,"00000000","[{'m_effect': {'id': '003dc3a0', 'name': 'abFortifyDamageAll', 'full': 'Fortify All Damage', 'keywords': [], 'd_type': '00000000', 'resist': '00000000', 'actor_value1': {'id': '0018eee1', 'name': 'STAT_DmgAll', 'full': 'Damage'}, 'projectile': '00000000', 'explosion': '00000000', 'a_type': 'PValueMod', 'e_type': 'Constant', 'target': 'Self', 'actor_value2': '00000000', 'ability': '00000000', 'perk': '00000000'}, 'magnitude': 25.0, 'area': 0, 'duration': 0, 'actor': '', 'glob_duration': '', 'glob_magnitude': '', 'd_curv': '', 'only_player': 'No'}, {'m_effect': {'id': '0004a0ac', 'name': 'AbPerkFortifyResistDamage', 'full': 'Fortify Damage Resist', 'keywords': [], 'd_type': '00000000', 'resist': '00000000', 'actor_value1': {'id': '000002e3', 'name': 'DamageResist', 'full': 'Damage Resistance'}, 'projectile': '00000000', 'explosion': '00000000', 'a_type': 'PValueMod', 'e_type': 'Constant', 'target': 'Self', 'actor_value2': '00000000', 'ability': '00000000', 'perk': '00000000'}, 'magnitude': 0.0, 'area': 0, 'duration': 0, 'actor': '', 'glob_duration': '', 'glob_magnitude': {'id': '00793519', 'name': 'MILE_CaravanEscort_Tier03_DmgResist', 'value': 800.0}, 'd_curv': '', 'only_player': 'No'}, {'m_effect': {'id': '000559a4', 'name': 'AbPerkFortifyResistEnergy', 'full': 'Fortify Energy Resist', 'keywords': [], 'd_type': '00000000', 'resist': '00000000', 'actor_value1': {'id': '000002eb', 'name': 'EnergyResist', 'full': 'Energy Resistance'}, 'projectile': '00000000', 'explosion': '00000000', 'a_type': 'PValueMod', 'e_type': 'Constant', 'target': 'Self', 'actor_value2': '00000000', 'ability': '00000000', 'perk': '00000000'}, 'magnitude': 0.0, 'area': 0, 'duration': 0, 'actor': '', 'glob_duration': '', 'glob_magnitude': {'id': '00793519', 'name': 'MILE_CaravanEscort_Tier03_DmgResist', 'value': 800.0}, 'd_curv': '', 'only_player': 'No'}, {'m_effect': {'id': '0004d86e', 'name': 'AbPerkFortifyResistFire', 'full': 'Fortify Fire Resist', 'keywords': [], 'd_type': '00000000', 'resist': '00000000', 'actor_value1': {'id': '000002e5', 'name': 'FireResist', 'full': 'Fire Resistance'}, 'projectile': '00000000', 'explosion': '00000000', 'a_type': 'PValueMod', 'e_type': 'Constant', 'target': 'Self', 'actor_value2': '00000000', 'ability': '00000000', 'perk': '00000000'}, 'magnitude': 0.0, 'area': 0, 'duration': 0, 'actor': '', 'glob_duration': '', 'glob_magnitude': {'id': '00793519', 'name': 'MILE_CaravanEscort_Tier03_DmgResist', 'value': 800.0}, 'd_curv': '', 'only_player': 'No'}, {'m_effect': {'id': '0062b799', 'name': 'AbPerkFortifyResistCryo', 'full': 'Fortify Cryo Resist', 'keywords': [], 'd_type': '00000000', 'resist': '00000000', 'actor_value1': {'id': '000002e7', 'name': 'FrostResist', 'full': 'Cryo Resistance'}, 'projectile': '00000000', 'explosion': '00000000', 'a_type': 'PValueMod', 'e_type': 'Constant', 'target': 'Self', 'actor_value2': '00000000', 'ability': '00000000', 'perk': '00000000'}, 'magnitude': 0.0, 'area': 0, 'duration': 0, 'actor': '', 'glob_duration': '', 'glob_magnitude': {'id': '00793519', 'name': 'MILE_CaravanEscort_Tier03_DmgResist', 'value': 800.0}, 'd_curv': '', 'only_player': 'No'}, {'m_effect': {'id': '0004d86b', 'name': 'AbPerkFortifyResistPoison', 'full': 'Fortify Poison Resist', 'keywords': [], 'd_type': '00000000', 'resist': '00000000', 'actor_value1': {'id': '000002e4', 'name': 'PoisonResist', 'full': 'Poison Resistance'}, 'projectile': '00000000', 'explosion': '00000000', 'a_type': 'PValueMod', 'e_type': 'Constant', 'target': 'Self', 'actor_value2': '00000000', 'ability': '00000000', 'perk': '00000000'}, 'magnitude': 0.0, 'area': 0, 'duration': 0, 'actor': '', 'glob_duration': '', 'glob_magnitude': {'id': '00793519', 'name': 'MILE_CaravanEscort_Tier03_DmgResist', 'value': 800.0}, 'd_curv': '', 'only_player': 'No'}]"
"00787e9f","Storm_E01_BossBabySpell","","Ability",0.0,"Constant","Self",0.0,0.0,"00000000","[{'m_effect': {'id': '00787e9d', 'name': 'Storm_E01_BossBabySpellEffect', 'full': 'Storm_E01_BossDmgRes', 'keywords': [], 'd_type': '00000000', 'resist': '00000000', 'actor_value1': '00000000', 'projectile': '00000000', 'explosion': '00000000', 'a_type': 'Script', 'e_type': 'Constant', 'target': 'Self', 'actor_value2': '00000000', 'ability': '00000000', 'perk': '00787e9e'}, 'magnitude': 0.0, 'area': 0, 'duration': 0, 'actor': '', 'glob_duration': '', 'glob_magnitude': '', 'd_curv': '', 'only_player': 'No'}]"
"00786e0a","E01F_Fasnacht_SpeedMultSpell","Swift-Footed","Ability",0.0,"Constant","Self",0.0,0.0,"00000000","[{'m_effect': {'id': '00786e09', 'name': 'E01F_Fasnacht_SpeedMultEffect', 'full': 'Swift-Footed', 'keywords': [], 'd_type': '00000000', 'resist': '00000000', 'actor_value1': {'id': '000002da', 'name': 'SpeedMult', 'full': ''}, 'projectile': '00000000', 'explosion': '00000000', 'a_type': 'ValueMod', 'e_type': 'Constant', 'target': 'Self', 'actor_value2': '00000000', 'ability': '00000000', 'perk': '00000000'}, 'magnitude': 0.0, 'area': 0, 'duration': 0, 'actor': '', 'glob_duration': '', 'glob_magnitude': {'id': '00786e07', 'name': 'E01F_Fasnacht_ProtectronSpeedMult', 'value': 100.0}, 'd_curv': '', 'only_player': 'No'}]"
"0078329f","Storm_MQ03_DismemberHandSpell","","Spell",0.0,"Fire","Self",0.0,0.0,"00000000","[{'m_effect': {'id': '0078329e', 'name': 'Storm_MQ03_DismemberHandEffect', 'full': 'Dismember Actors Hand', 'keywords': [], 'd_type': '00000000', 'resist': '00000000', 'actor_value1': '00000000', 'projectile': '00000000', 'explosion': '00000000', 'a_type': 'Script', 'e_type': 'Fire', 'target': 'Self', 'actor_value2': '00000000', 'ability': '00000000', 'perk': '00000000'}, 'magnitude': 0.0, 'area': 0, 'duration': 1, 'actor': '', 'glob_duration': '', 'glob_magnitude': '', 'd_curv': '', 'only_player': 'No'}]"
