"ID","Name","LocalizedName","ID","AttachPoint","TargetIds","AppType","Property","Val1","Val2","Enchantment","Curve"
"007aa31c","mod_custom_BlueRidgeBrandingIron_Custom","Blue Ridge Branding Iron","007aa31c","0047a264_ap_customName",""
"","","","007aa31c","","","Add","Keywords","00471871 / CustomItem_SpeciallyNamed",2,"",""
"","","","007aa31c","","","Add","Keywords","006a0f84 / CustomItemName_BlueRidgeBrandingIron",2,"",""
"","","","007aa31c","","","Add","Keywords","007aa31b / ma_BlueRidgeBrandingIron",2,"",""
"007a74b2","_PARENT_mod_WEAPON_GENERIC_Energy_FullConvert","Energy","007a74b2","0005524c_ap_melee_MeleeMod","000b974f_ma_TEMPLATE"
"","","","007a74b2","","","MullAdd","AttackDamage",-1.0,-1.0,"",""
"","","","007a74b2","","","MullAdd","DamageTypeValues","00060a81 / dtEnergy",1.0,"{'id': '00060a81', 'name': 'dtEnergy', 'full': 'Energy Damage'}",""
"","","","007a74b2","","","Add","Keywords","0004a0cb / DamageTypeEnergy",2,"",""
"007a74b1","_PARENT_mod_WEAPON_GENERIC_Energy_Split2","Energy","007a74b1","0005524c_ap_melee_MeleeMod","000b974f_ma_TEMPLATE"
"","","","007a74b1","","","MullAdd","AttackDamage",-0.4,-0.4,"",""
"","","","007a74b1","","","MullAdd","DamageTypeValues","00060a81 / dtEnergy",0.6,"{'id': '00060a81', 'name': 'dtEnergy', 'full': 'Energy Damage'}",""
"","","","007a74b1","","","Add","Keywords","0004a0cb / DamageTypeEnergy",2,"",""
"007a6d94","crmod_Flamer_Receiver_TankStandard_NPC-Only","Standard Tank","007a6d94","00024004_ap_gun_receiver","00148432_ma_Flamer"
"","","","005ae90e","","","Add","Keywords","005ae92d / IsAmmoType_FlamerFuel",2,"",""
"","","","007a6d94","","","Add","Keywords","00163038 / dn_HasReceiver_Standard",2,"",""
"0079c8a6","_PARENT_mod_Weapon_Custom_CraftingRestrictions","","0079c8a6","00000000",""
"","","","0079c8a6","","","MullAdd","Keywords","0060d1a6 / ma_legendarycrafting_weaponmelee",2,"",""
"","","","0079c8a6","","","MullAdd","Keywords","00787e6e / ma_legendarycrafting_weapon",2,"",""
"","","","0079c8a6","","","MullAdd","Keywords","005ff5f5 / ma_legendarycrafting_weaponranged",2,"",""
"","","","0079c8a6","","","MullAdd","Keywords","00788126 / ma_legendarycrafting_weaponexplosivebullets",2,"",""
"0079b630","JES-2R_Skin","","0079b630","0047a264_ap_customName",""
"","","","0079b630","","","Add","MaterialSwaps","0079b62d",3,"",""
"0079ad69","mod_Legendary_Weapon3_StatLuck","Luck","0079ad69","004e89a9_ap_Legendary3","00787e6e_ma_legendarycrafting_weapon"
"","","","004519f6","","","MullAdd","Value",3.0,0.0,"",""
"","","","0079ad69","","","Add","Keywords","001b3fac / FeaturedItem",2,"",""
"","","","0079ad69","","","Add","ActorValues","000002c8 / Luck",3.0,"{'id': '000002c8', 'name': 'Luck', 'full': 'Luck'}",""
"0079ad68","mod_Legendary_Weapon3_StatIntelligence","Intelligence","0079ad68","004e89a9_ap_Legendary3","00787e6e_ma_legendarycrafting_weapon"
"","","","004519f6","","","MullAdd","Value",3.0,0.0,"",""
"","","","0079ad68","","","Add","Keywords","001b3fac / FeaturedItem",2,"",""
"","","","0079ad68","","","Add","ActorValues","000002c6 / Intelligence",3.0,"{'id': '000002c6', 'name': 'Intelligence', 'full': 'Intelligence'}",""
"0079ad67","mod_Legendary_Weapon3_StatCharisma","Charisma","0079ad67","004e89a9_ap_Legendary3","00787e6e_ma_legendarycrafting_weapon"
"","","","004519f6","","","MullAdd","Value",3.0,0.0,"",""
"","","","0079ad67","","","Add","Keywords","001b3fac / FeaturedItem",2,"",""
"","","","0079ad67","","","Add","ActorValues","000002c5 / Charisma",3.0,"{'id': '000002c5', 'name': 'Charisma', 'full': 'Charisma'}",""
"007992f5","mod_Meltdown_Receiver_Insulated","Insulated Capacitor","007992f5","00024004_ap_gun_receiver","007970e7_ma_Meltdown"
"","","","005ae91c","","","Add","Keywords","005ae936 / IsAmmoType_FusionCell",2,"",""
"","","","007992f5","","","MullAdd","Weight",0.375,0.0,"",""
"","","","007992f5","","","MullAdd","Keywords","000a191c / s_30_Auto",2,"",""
"","","","007992f5","","","Add","prop112",-0.1,-0.1,"",""
"","","","007992f5","","","Add","Keywords","00163038 / dn_HasReceiver_Standard",2,"",""
