ID,NAME,PROJ_TYPE,ANIM_RELOAD,SIGHTED_TRANS,UNSIGHTED_TRANS,PROJECTILES,AMMO,SPEED,ATTACK_DELAY,DAMAGE_OUT_OF_RANGE,CAPACITY,WEIGHT,ATTACK_SPEED,AP,LOCALIZED_NAME,TAGS,DEF_MODS,EQTYPE,AT_POINTS,LEVELS,DAMAGE,CRIT,WEAP_EFFECT,MA,W_TYPE
00004822,10mm,00000000,1.96668,0.12,0.15,1,"{'id': '0001f276', 'name': '10mm', 'full': '10mm Round', 'ammo_type': 'Ballistic', 'value': 1, 'weight': 0.004999999888241291, 'projectile': {'id': '0001f277', 'name': 'Projectile10mm', 'full': '', 'destructible': '', 'gravity': 0.0, 'speed': 1000.0, 'range': 10000.0, 'expl': '00000000', 'relaunch': 0.25}, 'damage': 0.0, 'health': 0}",1.0,0.2333,0.5,12,3.0,0.66667,20.0,10mm,Pistol / Ballistic / ma_10mm / ma_BallisticGun / ma_CanHaveNullMuzzle / Ranged / ma_Gun_Appearance / ma_legendarycrafting_weaponranged / ma_Misc_Legendarycrafting_Weapon_Ranged4 / ma_legendarycrafting_weapon / ma_legendarycrafting_weaponexplosivebullets,"[['001f660e', '0005e8a1', '0005e633', '0005eae6', '0005e9bd', '0004f21d', '0037d0c1'], ['001f660e', '0005e8a1', '0005e633', '0005eae6', '0005e9bd', '0004f21d', '0037d0c1'], ['001f660e', '0005e8a1', '0005e633', '0005eae6', '0005e9bd', '0004f21d', '0037d0c1'], ['001f660d', '0005e8a1', '0005e633', '0005eae6', '0005e9bd', '0004f21d', '0037d0c1'], ['00043220', '001601d6', '0004321e', '0004321f', '00043222', '00043221', '0037d0c1'], ['001601d4', '0004321e', '001601d6', '0004321f', '00043221', '00043222', '0037d0c1'], ['001601d5', '0004321e', '001601d6', '0004321f', '00043221', '00043222', '0037d0c1'], ['001f660e', '0005e8a1', '0005e784', '0005eae6', '00524441', '0004f21d', '0037d0c1'], ['001f660e', '0005e8a1', '0005e633', '0005eae6', '0005e9bd', '0004f21d', '005117be'], ['0005e66f', '0005e8f0', '0005eafa', '00148333', '00524441']]",BothHandsLeftOptional,00024004_ap_gun_receiver / 001e32c8_ap_Legendary1 / 004e89a8_ap_Legendary2 / 004e89a9_ap_Legendary3 / 004e89aa_ap_Legendary4 / 004e89ab_ap_Legendary5 / 00114364_ap_gun_Appearance / 006214d8_ap_Legendary_Crafting,1 / 15 / 25 / 35 / 45,"[{'value': 0, 'curv': ['Weapons\\Weap_10mmDMG.json', ""{'curve': [{'x': 1, 'y': 15}, {'x': 5, 'y': 15}, {'x': 10, 'y': 15}, {'x': 15, 'y': 18}, {'x': 20, 'y': 18}, {'x': 25, 'y': 21}, {'x': 30, 'y': 21}, {'x': 35, 'y': 24}, {'x': 40, 'y': 24}, {'x': 45, 'y': 28}, {'x': 50, 'y': 28}]}""], 'type': {'id': '00060a87', 'name': 'dtPhysical', 'full': 'Physical Damage'}, 'id': '0014945e'}]","{'mult': 2.0, 'charge': 1.0, 'spell': '00000000'}",,00017e69_ma_10mm / 000d192e_ma_BallisticGun / 001c9e78_ma_CanHaveNullMuzzle / 0037d0b2_ma_Gun_Appearance / 005ff5f5_ma_legendarycrafting_weaponranged / 006214d7_ma_Misc_Legendarycrafting_Weapon_Ranged4 / 00787e6e_ma_legendarycrafting_weapon / 00788126_ma_legendarycrafting_weaponexplosivebullets,Range
0010db0f,10mmSMG,00000000,3.00001,0.12,0.15,1,"{'id': '0001f276', 'name': '10mm', 'full': '10mm Round', 'ammo_type': 'Ballistic', 'value': 1, 'weight': 0.004999999888241291, 'projectile': {'id': '0001f277', 'name': 'Projectile10mm', 'full': '', 'destructible': '', 'gravity': 0.0, 'speed': 1000.0, 'range': 10000.0, 'expl': '00000000', 'relaunch': 0.25}, 'damage': 0.0, 'health': 0}",1.0,0.2333,0.5,30,3.0,2.2,28.0,10mm Submachine Gun,Ballistic / ma_BallisticGun / ma_10mmSMG / Ranged / Automatic / Rifle / ma_Gun_Appearance / ma_legendarycrafting_weaponranged / ma_Misc_Legendarycrafting_Weapon_Ranged4 / ma_legendarycrafting_weapon / ma_legendarycrafting_weaponexplosivebullets,"[['0010d87b', '0010d883', '0010d8b7', '0010d896', '0010db0e', '00040973'], ['0010d87b', '0010d883', '0010d8b7', '0010d896', '0010db0e', '00040973'], ['00040890', '00040973', '00040950', '00040891', '0004c852', '0010db0e'], ['00040890', '00040973', '00040950', '00040891', '0004c852', '0010db0e'], ['003c345a', '00355dc1', '0010d8b7', '0010d896', '0010db0e', '00040973'], ['0010d87b', '0010d8b7', '0010db0e', '00040973', '002fd908', '002fd90c', '004f5773', '00471884'], ['002fd8fa', '002fd8fe', '0002d345', '002fd90c', '0072aecb', '0072aecc', '00751ec6', '004f6aa1', '00524153', '005299fb', '00759b4a']]",BothHands,00024004_ap_gun_receiver / 001e32c8_ap_Legendary1 / 004e89a8_ap_Legendary2 / 004e89a9_ap_Legendary3 / 004e89aa_ap_Legendary4 / 004e89ab_ap_Legendary5 / 0047a264_ap_customName / 00114364_ap_gun_Appearance / 006214d8_ap_Legendary_Crafting / 00521926_AP_Item_Description,10 / 20 / 30 / 40 / 50,"[{'value': 0, 'curv': ['Weapons\\Weap_10mmSMGDMG.json', ""{'curve': [{'x': 1, 'y': 0}, {'x': 5, 'y': 0}, {'x': 10, 'y': 17}, {'x': 15, 'y': 17}, {'x': 20, 'y': 19}, {'x': 25, 'y': 19}, {'x': 30, 'y': 23}, {'x': 35, 'y': 23}, {'x': 40, 'y': 28}, {'x': 45, 'y': 28}, {'x': 50, 'y': 34}]}""], 'type': {'id': '00060a87', 'name': 'dtPhysical', 'full': 'Physical Damage'}, 'id': '0004088c'}]","{'mult': 2.0, 'charge': 1.0, 'spell': '00000000'}",,000d192e_ma_BallisticGun / 0010d87c_ma_10mmSMG / 0037d0b2_ma_Gun_Appearance / 005ff5f5_ma_legendarycrafting_weaponranged / 006214d7_ma_Misc_Legendarycrafting_Weapon_Ranged4 / 00787e6e_ma_legendarycrafting_weapon / 00788126_ma_legendarycrafting_weaponexplosivebullets,Range
006d3c69,10mm_CircuitBreaker,"{'id': '006de6ad', 'name': 'Projectile10mm_CircuitBreakerAmmo', 'full': '', 'destructible': '', 'gravity': 0.0, 'speed': 7500.0, 'range': 10000.0, 'expl': {'id': '006e20eb', 'name': 'crExplosionCircuitBreaker', 'enchantment': '', 'damage_mult': 0, 'object': '', 'projectile': '00000000', 'exp_curv': '00000000', 'force': 0.0, 'damage': 0.0, 'd_type': '', 'd_value': 0, 'd_curv': '00000000'}, 'relaunch': 0.25}",1.96668,0.12,0.15,1,"{'id': '000c1897', 'name': 'FusionCell', 'full': 'Fusion Cell', 'ammo_type': 'Energy', 'value': 3, 'weight': 0.004999999888241291, 'projectile': {'id': '0009c663', 'name': 'ProjectileLaserRifleBeamRed', 'full': '', 'destructible': '', 'gravity': 0.0, 'speed': 10000.0, 'range': 10000.0, 'expl': '00000000', 'relaunch': 0.10000000149011612}, 'damage': 0.0, 'health': 0}",1.0,0.2333,0.5,8,3.0,0.66667,20.0,Circuit Breaker,Pistol / Ranged / ma_Gun_Appearance / ma_CircuitBreaker / Energy,"[['006dc8e7', '006dc8dc', '006dc8da', '006dc8e2', '006dc8e5', '006dc8e6', '0037d0c1', '006e1315', '006dc8dd', '006ded92']]",BothHandsLeftOptional,00024004_ap_gun_receiver / 001e32c8_ap_Legendary1 / 004e89a8_ap_Legendary2 / 004e89a9_ap_Legendary3 / 004e89aa_ap_Legendary4 / 004e89ab_ap_Legendary5 / 00114364_ap_gun_Appearance / 00521926_AP_Item_Description,10 / 20 / 30 / 40 / 50,"[{'value': 0, 'curv': ['Weapons\\Weap_CircuitBreakerDMG.json', ""{'curve': [{'x': 1, 'y': 0}, {'x': 5, 'y': 0}, {'x': 10, 'y': 24}, {'x': 15, 'y': 24}, {'x': 20, 'y': 28}, {'x': 25, 'y': 28}, {'x': 30, 'y': 32}, {'x': 35, 'y': 32}, {'x': 40, 'y': 36}, {'x': 45, 'y': 36}, {'x': 50, 'y': 40}]}""], 'type': {'id': '00060a81', 'name': 'dtEnergy', 'full': 'Energy Damage'}, 'id': '006f291a'}]","{'mult': 2.0, 'charge': 1.0, 'spell': {'id': '006fd098', 'name': 'CritLightning_CircuitBreaker', 'full': '', 'type': 'Spell', 'time': 0.0, 'e_type': 'Fire', 'target': 'Self', 'duration': 0.0, 'range': 0.0, 'perk': '00000000', 'mag_effects': [{'m_effect': {'id': '006fd097', 'name': 'CritLightningEffect_CircuitBreaker', 'full': 'Critical Energy Hit', 'keywords': [], 'd_type': '00000000', 'resist': {'id': '000002eb', 'name': 'EnergyResist', 'full': 'Energy Resistance'}, 'actor_value1': '00000000', 'projectile': '00000000', 'explosion': '00000000', 'a_type': 'Script', 'e_type': 'Fire', 'target': 'Self', 'actor_value2': '00000000', 'ability': '00000000', 'perk': '00000000'}, 'magnitude': 10.0, 'area': 0, 'duration': 10, 'actor': '', 'glob_duration': '', 'glob_magnitude': '', 'd_curv': '', 'only_player': 'No'}]}}",,0037d0b2_ma_Gun_Appearance / 006d3c66_ma_CircuitBreaker,Range
000ce97d,44,00000000,3.33334,0.12,0.15,1,"{'id': '0009221c', 'name': '44', 'full': '.44 Round', 'ammo_type': 'Ballistic', 'value': 3, 'weight': 0.004000000189989805, 'projectile': {'id': '000fbf9b', 'name': 'Projectile45Caliber', 'full': '', 'destructible': '', 'gravity': 0.0, 'speed': 1000.0, 'range': 10000.0, 'expl': '00000000', 'relaunch': 0.25}, 'damage': 0.0, 'health': 0}",1.0,0.15,0.5,6,4.0,0.83333,35.0,.44,Ballistic / ma_44 / Pistol / Ranged / ma_Gun_Appearance / Revolver / ma_legendarycrafting_weaponranged / ma_Misc_Legendarycrafting_Weapon_Ranged4 / ma_legendarycrafting_weapon / ma_legendarycrafting_weaponexplosivebullets,"[['001a05d8', '00158253', '001a05e3', '00158240', '0037d0c1'], ['001a05d8', '00158253', '001a05e3', '00158240', '0037d0c1'], ['001acfb2', '001acfb3', '001acfb5', '001acfb4', '0037d0c1'], ['001a05d8', '00158253', '001a05e3', '00158240', '0037d0c1'], ['001a05d8', '00158253', '00158240', '001acfb8', '0037d0c1'], ['001acfb2', '001acfb3', '001acfb6', '001acfb4', '0037d0c1'], ['001acfb2', '001acfb3', '001acfb8', '001acfb4', '0037d0c1'], ['001a05d8', '00158253', '001a05e3', '00158240', '0037d0c2'], ['001a05d8', '002e5b4a', '005dbe60', '001a05e8', '0037d0c1', '004f6d76', '004f5771', '00524154', '005d0347'], ['005281b4', '001a05e0', '001c400e', '00471887', '001a05d8', '00158253', '00158240']]",RightHand,00024004_ap_gun_receiver / 001e32c8_ap_Legendary1 / 004e89a8_ap_Legendary2 / 004e89a9_ap_Legendary3 / 004e89aa_ap_Legendary4 / 004e89ab_ap_Legendary5 / 00114364_ap_gun_Appearance / 0047a264_ap_customName / 006214d8_ap_Legendary_Crafting,5 / 15 / 25 / 35 / 45,"[{'value': 0, 'curv': ['Weapons\\Weap_44DMG.json', ""{'curve': [{'x': 1, 'y': 0}, {'x': 5, 'y': 40}, {'x': 10, 'y': 40}, {'x': 15, 'y': 45}, {'x': 20, 'y': 45}, {'x': 25, 'y': 50}, {'x': 30, 'y': 50}, {'x': 35, 'y': 55}, {'x': 40, 'y': 55}, {'x': 45, 'y': 60}, {'x': 50, 'y': 60}]}""], 'type': {'id': '00060a87', 'name': 'dtPhysical', 'full': 'Physical Damage'}, 'id': '00149fb2'}]","{'mult': 2.0, 'charge': 1.0, 'spell': '00000000'}",,0018871f_ma_44 / 0037d0b2_ma_Gun_Appearance / 005ff5f5_ma_legendarycrafting_weaponranged / 006214d7_ma_Misc_Legendarycrafting_Weapon_Ranged4 / 00787e6e_ma_legendarycrafting_weapon / 00788126_ma_legendarycrafting_weaponexplosivebullets,Range
005fe0b8,44_MedicalMalpractice,00000000,3.33334,0.15,0.15,1,"{'id': '0009221c', 'name': '44', 'full': '.44 Round', 'ammo_type': 'Ballistic', 'value': 3, 'weight': 0.004000000189989805, 'projectile': {'id': '000fbf9b', 'name': 'Projectile45Caliber', 'full': '', 'destructible': '', 'gravity': 0.0, 'speed': 1000.0, 'range': 10000.0, 'expl': '00000000', 'relaunch': 0.25}, 'damage': 0.0, 'health': 0}",1.0,0.15,0.5,6,4.0,0.83333,35.0,Medical Malpractice,Ballistic / ma_44 / Pistol / Ranged / ma_Gun_Appearance / Revolver,"[['002e5b30', '002e5b51', '001a05e8', '002e5b44', '0037d0c1', '0075eac6', '00524153', '00524154']]",RightHand,00024004_ap_gun_receiver / 001e32c8_ap_Legendary1 / 004e89a8_ap_Legendary2 / 004e89a9_ap_Legendary3 / 004e89aa_ap_Legendary4 / 004e89ab_ap_Legendary5 / 00114364_ap_gun_Appearance / 0047a264_ap_customName,45,"[{'value': 0, 'curv': ['Weapons\\Weap_44DMG.json', ""{'curve': [{'x': 1, 'y': 0}, {'x': 5, 'y': 40}, {'x': 10, 'y': 40}, {'x': 15, 'y': 45}, {'x': 20, 'y': 45}, {'x': 25, 'y': 50}, {'x': 30, 'y': 50}, {'x': 35, 'y': 55}, {'x': 40, 'y': 55}, {'x': 45, 'y': 60}, {'x': 50, 'y': 60}]}""], 'type': {'id': '00060a87', 'name': 'dtPhysical', 'full': 'Physical Damage'}, 'id': '00149fb2'}]","{'mult': 2.0, 'charge': 1.0, 'spell': '00000000'}",,0018871f_ma_44 / 0037d0b2_ma_Gun_Appearance,Range
005eefe4,44_NONPLAYABLE,00000000,3.33334,0.12,0.15,1,"{'id': '0009221c', 'name': '44', 'full': '.44 Round', 'ammo_type': 'Ballistic', 'value': 3, 'weight': 0.004000000189989805, 'projectile': {'id': '000fbf9b', 'name': 'Projectile45Caliber', 'full': '', 'destructible': '', 'gravity': 0.0, 'speed': 1000.0, 'range': 10000.0, 'expl': '00000000', 'relaunch': 0.25}, 'damage': 0.0, 'health': 0}",1.0,0.15,0.5,6,4.0,0.83333,35.0,Left Hand Drill,Ballistic / ma_44 / Pistol / Ranged / ma_Gun_Appearance / Revolver,"[['001a05d8', '00158253', '001a05e3', '00158240', '0037d0c1']]",RightHand,00024004_ap_gun_receiver / 00114364_ap_gun_Appearance / 0047a264_ap_customName,5 / 15 / 25 / 35 / 45,[],"{'mult': 2.0, 'charge': 1.0, 'spell': '00000000'}",,0018871f_ma_44 / 0037d0b2_ma_Gun_Appearance,Range
0003a0d4,50CalMachineGun,00000000,5.00001,0.3,0.3,1,"{'id': '0001f279', 'name': '50Caliber', 'full': '.50 Round', 'ammo_type': 'Ballistic', 'value': 5, 'weight': 0.004999999888241291, 'projectile': {'id': '0000481f', 'name': 'ProjectileAssaultRifle', 'full': '', 'destructible': '', 'gravity': 0.0, 'speed': 1000.0, 'range': 10000.0, 'expl': '00000000', 'relaunch': 0.25}, 'damage': 0.0, 'health': 0}",1.0,0.0,0.5,250,18.0,2.2,30.0,.50 Cal Machine Gun,Minigun / Automatic / Ballistic / HeavyGun / Ranged / ma_50CalMachineGun / ma_Gun_Appearance / ma_legendarycrafting_weaponranged / ma_Misc_Legendarycrafting_Weapon_Ranged4 / ma_legendarycrafting_weapon / ma_legendarycrafting_weaponexplosivebullets,"[['0003a0b8', '0003a0ca', '0003a0cd', '0003a0b6', '0037d0c1'], ['0003a0b8', '0003a0ca', '0003a0cd', '0003a0b6', '0037d0c1']]",BothHands,0002249d_ap_gun_Barrel / 00022499_ap_gun_Scope / 001e32c8_ap_Legendary1 / 00149ca8_ap_gun_Casing / 001e9904_ap_gun_FlashFar / 001e9906_ap_gun_FlashShort / 001e9905_ap_gun_FlashMid / 0005f7c7_ap_gun_FeedThroat / 0005d4d7_ap_gun_Mag / 0014cda5_ap_gun_Sight / 0002249f_ap_gun_Grip / 0000140f_ap_Bot_Grip / 00001413_ap_Bot_Sight / 00001414_ap_Bot_Barrel / 00091a50_ap_Bot_Mag / 00024004_ap_gun_receiver / 004e89a8_ap_Legendary2 / 004e89a9_ap_Legendary3 / 004e89aa_ap_Legendary4 / 004e89ab_ap_Legendary5 / 00114364_ap_gun_Appearance / 006214d8_ap_Legendary_Crafting,25 / 35 / 45,"[{'value': 0, 'curv': ['Weapons\\Weap_50CalMachineGunDMG.json', ""{'curve': [{'x': 1, 'y': 0}, {'x': 5, 'y': 0}, {'x': 10, 'y': 0}, {'x': 15, 'y': 0}, {'x': 20, 'y': 0}, {'x': 25, 'y': 29}, {'x': 30, 'y': 29}, {'x': 35, 'y': 36}, {'x': 40, 'y': 36}, {'x': 45, 'y': 43}, {'x': 50, 'y': 43}]}""], 'type': {'id': '00060a87', 'name': 'dtPhysical', 'full': 'Physical Damage'}, 'id': '0016d8c8'}]","{'mult': 2.0, 'charge': 1.0, 'spell': '00000000'}",,004e212f_ma_50CalMachineGun / 0037d0b2_ma_Gun_Appearance / 005ff5f5_ma_legendarycrafting_weaponranged / 006214d7_ma_Misc_Legendarycrafting_Weapon_Ranged4 / 00787e6e_ma_legendarycrafting_weapon / 00788126_ma_legendarycrafting_weaponexplosivebullets,Range
0072bc2f,AC_MQ02_Stage_JugglingGrenade,"{'id': '0072bc2e', 'name': 'AC_MQ02_Stage_JugglingGrenade_Projectile', 'full': 'Juggling Grenade', 'destructible': '', 'gravity': 0.5, 'speed': 1400.0, 'range': 15000.0, 'expl': {'id': '004512d3', 'name': 'ConfettiMessExplosion', 'enchantment': '', 'damage_mult': 0, 'object': '', 'projectile': '00000000', 'exp_curv': '00000000', 'force': 20.0, 'damage': 0.0, 'd_type': '', 'd_value': 0, 'd_curv': '00000000'}, 'relaunch': 0.25}",2.3333,0.25,0.25,1,None,1.0,0.0,1.0,0,0.5,1.83333,20.0,Juggling Grenade,Grenade / Explosive / Thrown,,GrenadeSlot,00521926_AP_Item_Description,1,[],"{'mult': 2.0, 'charge': 1.0, 'spell': '00000000'}",,,Thrown
0073553c,AC_MQ02_Stage_ThrowingKnife_Weapon,"{'id': '00735539', 'name': 'AC_MQ02_Stage_ProjectileThrowingKnife_StaticCollision', 'full': 'Throwing Knife', 'destructible': '', 'gravity': 0.6000000238418579, 'speed': 3000.0, 'range': 15000.0, 'expl': {'id': '004de245', 'name': 'ExplosionThrowingKnifePlaceObject', 'enchantment': '', 'damage_mult': 0, 'object': '003879a3', 'projectile': '00000000', 'exp_curv': '00000000', 'force': 35.0, 'damage': 0.0, 'd_type': '', 'd_value': 0, 'd_curv': '00000000'}, 'relaunch': 0.25}",0.0,0.25,0.25,1,None,1.0,0.0,1.0,0,0.25,1.83333,20.0,Throwing Knife,Grenade / Thrown / Knives / ThrowingKnife,[],GrenadeSlot,,1,[],"{'mult': 2.0, 'charge': 1.0, 'spell': '00000000'}","{'id': '00726f04', 'name': 'ench_Weapon_ThrowingKnife', 'full': 'Damage', 'type': 'Enchantment', 'target': 'Contact', 'e_type': 'Fire', 'mag_effects': [{'m_effect': {'id': '00150f60', 'name': 'DrainHealthEffect', 'full': 'Drain Health', 'keywords': [], 'd_type': {'id': '00060a87', 'name': 'dtPhysical', 'full': 'Physical Damage'}, 'resist': {'id': '000002e3', 'name': 'DamageResist', 'full': 'Damage Resistance'}, 'actor_value1': '00000000', 'projectile': '00000000', 'explosion': '00000000', 'a_type': 'Damage', 'e_type': 'Fire', 'target': 'Contact', 'actor_value2': '00000000', 'ability': '00000000', 'perk': '00000000'}, 'magnitude': 5.0, 'area': 0, 'duration': 0, 'actor': '', 'glob_duration': '', 'glob_magnitude': '', 'd_curv': '', 'only_player': 'No'}]}",,Thrown
006f53fa,AC_MQ02_Stage_ThrowingPie_Grenade,"{'id': '006f538b', 'name': 'AC_MQ02_Stage_ThrowingPie_Projectile', 'full': 'Throwing Pie', 'destructible': '', 'gravity': 2.0, 'speed': 1400.0, 'range': 15000.0, 'expl': {'id': '006f5384', 'name': 'AC_MQ02_Stage_ThrowingPie_Explosion', 'enchantment': '', 'damage_mult': 0, 'object': '', 'projectile': '00000000', 'exp_curv': '00000000', 'force': 0.0, 'damage': 0.0, 'd_type': '', 'd_value': 0, 'd_curv': '00000000'}, 'relaunch': 0.25}",2.3333,0.25,0.25,1,None,1.0,0.0,1.0,0,0.5,1.83333,20.0,Throwing Pie,Grenade,[['0034cc03']],GrenadeSlot,00521926_AP_Item_Description,1,[],"{'mult': 2.0, 'charge': 1.0, 'spell': '00000000'}",,,Thrown
