Name,Level,dr,er,fire,poison,cold,rad,Health
alien,1,2,2,2,2,2,2,66
alien,2,2.0,2.0,2.0,2.0,2.0,2.0,72.66666666666667
alien,3,2.0,2.0,2.0,2.0,2.0,2.0,79.33333333333334
alien,4,2,2,2,2,2,2,86
alien,5,2.0,2.0,2.0,2.0,2.0,2.0,92.0
alien,6,2.0,2.0,2.0,2.0,2.0,2.0,98.0
alien,7,2,2,2,2,2,2,104
alien,8,6.0,6.0,6.0,6.0,6.0,6.0,108.5
alien,9,10,10,10,10,10,10,113
alien,10,10.0,10.0,10.0,10.0,10.0,10.0,120.4
alien,11,10.0,10.0,10.0,10.0,10.0,10.0,127.80000000000001
alien,12,10.0,10.0,10.0,10.0,10.0,10.0,135.20000000000002
alien,13,10.0,10.0,10.0,10.0,10.0,10.0,142.60000000000002
alien,14,10,10,10,10,10,10,150
alien,15,12.142857142857142,12.142857142857142,12.142857142857142,12.142857142857142,12.142857142857142,12.142857142857142,162.14285714285714
alien,16,14.285714285714285,14.285714285714285,14.285714285714285,14.285714285714285,14.285714285714285,14.285714285714285,174.28571428571428
alien,17,16.428571428571427,16.428571428571427,16.428571428571427,16.428571428571427,16.428571428571427,16.428571428571427,186.42857142857142
alien,18,18.57142857142857,18.57142857142857,18.57142857142857,18.57142857142857,18.57142857142857,18.57142857142857,198.57142857142856
alien,19,20.71428571428571,20.71428571428571,20.71428571428571,20.71428571428571,20.71428571428571,20.71428571428571,210.7142857142857
alien,20,22.857142857142854,22.857142857142854,22.857142857142854,22.857142857142854,22.857142857142854,22.857142857142854,222.85714285714283
alien,21,25,25,25,25,25,25,235
alien,22,25.0,25.0,25.0,25.0,25.0,25.0,250.55555555555554
alien,23,25.0,25.0,25.0,25.0,25.0,25.0,266.1111111111111
alien,24,25.0,25.0,25.0,25.0,25.0,25.0,281.66666666666663
alien,25,25.0,25.0,25.0,25.0,25.0,25.0,297.2222222222222
alien,26,25.0,25.0,25.0,25.0,25.0,25.0,312.7777777777777
alien,27,25.0,25.0,25.0,25.0,25.0,25.0,328.33333333333326
alien,28,25.0,25.0,25.0,25.0,25.0,25.0,343.8888888888888
alien,29,25.0,25.0,25.0,25.0,25.0,25.0,359.44444444444434
alien,30,25,25,25,25,25,25,375
alien,31,27.77777777777778,27.77777777777778,27.77777777777778,27.77777777777778,27.77777777777778,27.77777777777778,395.77777777777777
alien,32,30.555555555555557,30.555555555555557,30.555555555555557,30.555555555555557,30.555555555555557,30.555555555555557,416.55555555555554
alien,33,33.333333333333336,33.333333333333336,33.333333333333336,33.333333333333336,33.333333333333336,33.333333333333336,437.3333333333333
alien,34,36.111111111111114,36.111111111111114,36.111111111111114,36.111111111111114,36.111111111111114,36.111111111111114,458.1111111111111
alien,35,38.88888888888889,38.88888888888889,38.88888888888889,38.88888888888889,38.88888888888889,38.88888888888889,478.88888888888886
alien,36,41.66666666666667,41.66666666666667,41.66666666666667,41.66666666666667,41.66666666666667,41.66666666666667,499.66666666666663
alien,37,44.44444444444445,44.44444444444445,44.44444444444445,44.44444444444445,44.44444444444445,44.44444444444445,520.4444444444445
alien,38,47.22222222222223,47.22222222222223,47.22222222222223,47.22222222222223,47.22222222222223,47.22222222222223,541.2222222222223
alien,39,50,50,50,50,50,50,562
alien,40,54.54545454545455,54.54545454545455,54.54545454545455,54.54545454545455,54.54545454545455,54.54545454545455,570.4545454545455
alien,41,59.09090909090909,59.09090909090909,59.09090909090909,59.09090909090909,59.09090909090909,59.09090909090909,578.909090909091
alien,42,63.63636363636364,63.63636363636364,63.63636363636364,63.63636363636364,63.63636363636364,63.63636363636364,587.3636363636365
alien,43,68.18181818181819,68.18181818181819,68.18181818181819,68.18181818181819,68.18181818181819,68.18181818181819,595.818181818182
alien,44,72.72727272727273,72.72727272727273,72.72727272727273,72.72727272727273,72.72727272727273,72.72727272727273,604.2727272727275
alien,45,77.27272727272728,77.27272727272728,77.27272727272728,77.27272727272728,77.27272727272728,77.27272727272728,612.727272727273
alien,46,81.81818181818183,81.81818181818183,81.81818181818183,81.81818181818183,81.81818181818183,81.81818181818183,621.1818181818185
alien,47,86.36363636363637,86.36363636363637,86.36363636363637,86.36363636363637,86.36363636363637,86.36363636363637,629.636363636364
alien,48,90.90909090909092,90.90909090909092,90.90909090909092,90.90909090909092,90.90909090909092,90.90909090909092,638.0909090909095
alien,49,95.45454545454547,95.45454545454547,95.45454545454547,95.45454545454547,95.45454545454547,95.45454545454547,646.545454545455
alien,50,100,100,100,100,100,100,655
alien,51,101.0,101.0,101.0,101.0,101.0,101.0,671.9
alien,52,102.0,102.0,102.0,102.0,102.0,102.0,688.8
alien,53,103.0,103.0,103.0,103.0,103.0,103.0,705.6999999999999
alien,54,104.0,104.0,104.0,104.0,104.0,104.0,722.5999999999999
alien,55,105.0,105.0,105.0,105.0,105.0,105.0,739.4999999999999
alien,56,106.0,106.0,106.0,106.0,106.0,106.0,756.3999999999999
alien,57,107.0,107.0,107.0,107.0,107.0,107.0,773.2999999999998
alien,58,108.0,108.0,108.0,108.0,108.0,108.0,790.1999999999998
alien,59,109.0,109.0,109.0,109.0,109.0,109.0,807.0999999999998
alien,60,110.0,110.0,110.0,110.0,110.0,110.0,823.9999999999998
alien,61,111.0,111.0,111.0,111.0,111.0,111.0,840.8999999999997
alien,62,112.0,112.0,112.0,112.0,112.0,112.0,857.7999999999997
alien,63,113.0,113.0,113.0,113.0,113.0,113.0,874.6999999999997
alien,64,114.0,114.0,114.0,114.0,114.0,114.0,891.5999999999997
alien,65,115.0,115.0,115.0,115.0,115.0,115.0,908.4999999999997
alien,66,116.0,116.0,116.0,116.0,116.0,116.0,925.3999999999996
alien,67,117.0,117.0,117.0,117.0,117.0,117.0,942.2999999999996
alien,68,118.0,118.0,118.0,118.0,118.0,118.0,959.1999999999996
alien,69,119.0,119.0,119.0,119.0,119.0,119.0,976.0999999999996
alien,70,120.0,120.0,120.0,120.0,120.0,120.0,992.9999999999995
alien,71,121.0,121.0,121.0,121.0,121.0,121.0,1009.8999999999995
alien,72,122.0,122.0,122.0,122.0,122.0,122.0,1026.7999999999995
alien,73,123.0,123.0,123.0,123.0,123.0,123.0,1043.6999999999996
alien,74,124.0,124.0,124.0,124.0,124.0,124.0,1060.5999999999997
alien,75,125.0,125.0,125.0,125.0,125.0,125.0,1077.4999999999998
alien,76,126.0,126.0,126.0,126.0,126.0,126.0,1094.3999999999999
alien,77,127.0,127.0,127.0,127.0,127.0,127.0,1111.3
alien,78,128.0,128.0,128.0,128.0,128.0,128.0,1128.2
alien,79,129.0,129.0,129.0,129.0,129.0,129.0,1145.1000000000001
alien,80,130.0,130.0,130.0,130.0,130.0,130.0,1162.0000000000002
alien,81,131.0,131.0,131.0,131.0,131.0,131.0,1178.9000000000003
alien,82,132.0,132.0,132.0,132.0,132.0,132.0,1195.8000000000004
alien,83,133.0,133.0,133.0,133.0,133.0,133.0,1212.7000000000005
alien,84,134.0,134.0,134.0,134.0,134.0,134.0,1229.6000000000006
alien,85,135.0,135.0,135.0,135.0,135.0,135.0,1246.5000000000007
alien,86,136.0,136.0,136.0,136.0,136.0,136.0,1263.4000000000008
alien,87,137.0,137.0,137.0,137.0,137.0,137.0,1280.3000000000009
alien,88,138.0,138.0,138.0,138.0,138.0,138.0,1297.200000000001
alien,89,139.0,139.0,139.0,139.0,139.0,139.0,1314.100000000001
alien,90,140.0,140.0,140.0,140.0,140.0,140.0,1331.0000000000011
alien,91,141.0,141.0,141.0,141.0,141.0,141.0,1347.9000000000012
alien,92,142.0,142.0,142.0,142.0,142.0,142.0,1364.8000000000013
alien,93,143.0,143.0,143.0,143.0,143.0,143.0,1381.7000000000014
alien,94,144.0,144.0,144.0,144.0,144.0,144.0,1398.6000000000015
alien,95,145.0,145.0,145.0,145.0,145.0,145.0,1415.5000000000016
alien,96,146.0,146.0,146.0,146.0,146.0,146.0,1432.4000000000017
alien,97,147.0,147.0,147.0,147.0,147.0,147.0,1449.3000000000018
alien,98,148.0,148.0,148.0,148.0,148.0,148.0,1466.2000000000019
alien,99,149.0,149.0,149.0,149.0,149.0,149.0,1483.100000000002
alien,100,150,150,150,150,150,150,1500
alien,101,150,150,150,150,150,150,1500
alien,102,150,150,150,150,150,150,1500
alien,103,150,150,150,150,150,150,1500
alien,104,150,150,150,150,150,150,1500
alien,105,150,150,150,150,150,150,1500
alien,106,150,150,150,150,150,150,1500
alien,107,150,150,150,150,150,150,1500
alien,108,150,150,150,150,150,150,1500
alien,109,150,150,150,150,150,150,1500
alien,110,150,150,150,150,150,150,1500
alien,111,150,150,150,150,150,150,1500
alien,112,150,150,150,150,150,150,1500
alien,113,150,150,150,150,150,150,1500
alien,114,150,150,150,150,150,150,1500
alien,115,150,150,150,150,150,150,1500
alien,116,150,150,150,150,150,150,1500
alien,117,150,150,150,150,150,150,1500
alien,118,150,150,150,150,150,150,1500
alien,119,150,150,150,150,150,150,1500
alien,120,150,150,150,150,150,150,1500
alien_cpt-alpha-omega,1,50,50,50,50,50,50,2500
alien_cpt-alpha-omega,2,50.0,50.0,50.0,50.0,50.0,50.0,2500.0
alien_cpt-alpha-omega,3,50.0,50.0,50.0,50.0,50.0,50.0,2500.0
alien_cpt-alpha-omega,4,50.0,50.0,50.0,50.0,50.0,50.0,2500.0
alien_cpt-alpha-omega,5,50.0,50.0,50.0,50.0,50.0,50.0,2500.0
alien_cpt-alpha-omega,6,50.0,50.0,50.0,50.0,50.0,50.0,2500.0
alien_cpt-alpha-omega,7,50.0,50.0,50.0,50.0,50.0,50.0,2500.0
alien_cpt-alpha-omega,8,50.0,50.0,50.0,50.0,50.0,50.0,2500.0
alien_cpt-alpha-omega,9,50.0,50.0,50.0,50.0,50.0,50.0,2500.0
alien_cpt-alpha-omega,10,50,50,50,50,50,50,2500
alien_cpt-alpha-omega,11,50.0,50.0,50.0,50.0,50.0,50.0,2500.0
alien_cpt-alpha-omega,12,50.0,50.0,50.0,50.0,50.0,50.0,2500.0
alien_cpt-alpha-omega,13,50.0,50.0,50.0,50.0,50.0,50.0,2500.0
alien_cpt-alpha-omega,14,50.0,50.0,50.0,50.0,50.0,50.0,2500.0
alien_cpt-alpha-omega,15,50.0,50.0,50.0,50.0,50.0,50.0,2500.0
alien_cpt-alpha-omega,16,50.0,50.0,50.0,50.0,50.0,50.0,2500.0
alien_cpt-alpha-omega,17,50.0,50.0,50.0,50.0,50.0,50.0,2500.0
alien_cpt-alpha-omega,18,50.0,50.0,50.0,50.0,50.0,50.0,2500.0
alien_cpt-alpha-omega,19,50.0,50.0,50.0,50.0,50.0,50.0,2500.0
alien_cpt-alpha-omega,20,50,50,50,50,50,50,2500
alien_cpt-alpha-omega,21,55.0,55.0,55.0,55.0,55.0,55.0,2625.0
alien_cpt-alpha-omega,22,60.0,60.0,60.0,60.0,60.0,60.0,2750.0
alien_cpt-alpha-omega,23,65.0,65.0,65.0,65.0,65.0,65.0,2875.0
alien_cpt-alpha-omega,24,70.0,70.0,70.0,70.0,70.0,70.0,3000.0
alien_cpt-alpha-omega,25,75.0,75.0,75.0,75.0,75.0,75.0,3125.0
alien_cpt-alpha-omega,26,80.0,80.0,80.0,80.0,80.0,80.0,3250.0
alien_cpt-alpha-omega,27,85.0,85.0,85.0,85.0,85.0,85.0,3375.0
alien_cpt-alpha-omega,28,90.0,90.0,90.0,90.0,90.0,90.0,3500.0
alien_cpt-alpha-omega,29,95.0,95.0,95.0,95.0,95.0,95.0,3625.0
alien_cpt-alpha-omega,30,100,100,100,100,100,100,3750
alien_cpt-alpha-omega,31,105.0,105.0,105.0,105.0,105.0,105.0,3875.0
alien_cpt-alpha-omega,32,110.0,110.0,110.0,110.0,110.0,110.0,4000.0
alien_cpt-alpha-omega,33,115.0,115.0,115.0,115.0,115.0,115.0,4125.0
alien_cpt-alpha-omega,34,120.0,120.0,120.0,120.0,120.0,120.0,4250.0
alien_cpt-alpha-omega,35,125.0,125.0,125.0,125.0,125.0,125.0,4375.0
alien_cpt-alpha-omega,36,130.0,130.0,130.0,130.0,130.0,130.0,4500.0
alien_cpt-alpha-omega,37,135.0,135.0,135.0,135.0,135.0,135.0,4625.0
alien_cpt-alpha-omega,38,140.0,140.0,140.0,140.0,140.0,140.0,4750.0
alien_cpt-alpha-omega,39,145.0,145.0,145.0,145.0,145.0,145.0,4875.0
alien_cpt-alpha-omega,40,150,150,150,150,150,150,5000
alien_cpt-alpha-omega,41,150.0,150.0,150.0,150.0,150.0,150.0,5125.0
alien_cpt-alpha-omega,42,150.0,150.0,150.0,150.0,150.0,150.0,5250.0
alien_cpt-alpha-omega,43,150.0,150.0,150.0,150.0,150.0,150.0,5375.0
alien_cpt-alpha-omega,44,150.0,150.0,150.0,150.0,150.0,150.0,5500.0
alien_cpt-alpha-omega,45,150.0,150.0,150.0,150.0,150.0,150.0,5625.0
alien_cpt-alpha-omega,46,150.0,150.0,150.0,150.0,150.0,150.0,5750.0
alien_cpt-alpha-omega,47,150.0,150.0,150.0,150.0,150.0,150.0,5875.0
alien_cpt-alpha-omega,48,150.0,150.0,150.0,150.0,150.0,150.0,6000.0
alien_cpt-alpha-omega,49,150.0,150.0,150.0,150.0,150.0,150.0,6125.0
alien_cpt-alpha-omega,50,150,150,150,150,150,150,6250
alien_cpt-alpha-omega,51,160.0,160.0,160.0,160.0,160.0,160.0,6375.0
alien_cpt-alpha-omega,52,170.0,170.0,170.0,170.0,170.0,170.0,6500.0
alien_cpt-alpha-omega,53,180.0,180.0,180.0,180.0,180.0,180.0,6625.0
alien_cpt-alpha-omega,54,190.0,190.0,190.0,190.0,190.0,190.0,6750.0
alien_cpt-alpha-omega,55,200.0,200.0,200.0,200.0,200.0,200.0,6875.0
alien_cpt-alpha-omega,56,210.0,210.0,210.0,210.0,210.0,210.0,7000.0
alien_cpt-alpha-omega,57,220.0,220.0,220.0,220.0,220.0,220.0,7125.0
alien_cpt-alpha-omega,58,230.0,230.0,230.0,230.0,230.0,230.0,7250.0
alien_cpt-alpha-omega,59,240.0,240.0,240.0,240.0,240.0,240.0,7375.0
alien_cpt-alpha-omega,60,250,250,250,250,250,250,7500
alien_cpt-alpha-omega,61,250.0,250.0,250.0,250.0,250.0,250.0,7625.0
alien_cpt-alpha-omega,62,250.0,250.0,250.0,250.0,250.0,250.0,7750.0
alien_cpt-alpha-omega,63,250.0,250.0,250.0,250.0,250.0,250.0,7875.0
alien_cpt-alpha-omega,64,250.0,250.0,250.0,250.0,250.0,250.0,8000.0
alien_cpt-alpha-omega,65,250.0,250.0,250.0,250.0,250.0,250.0,8125.0
alien_cpt-alpha-omega,66,250.0,250.0,250.0,250.0,250.0,250.0,8250.0
alien_cpt-alpha-omega,67,250.0,250.0,250.0,250.0,250.0,250.0,8375.0
alien_cpt-alpha-omega,68,250.0,250.0,250.0,250.0,250.0,250.0,8500.0
alien_cpt-alpha-omega,69,250.0,250.0,250.0,250.0,250.0,250.0,8625.0
alien_cpt-alpha-omega,70,250,250,250,250,250,250,8750
alien_cpt-alpha-omega,71,250.0,250.0,250.0,250.0,250.0,250.0,8875.0
alien_cpt-alpha-omega,72,250.0,250.0,250.0,250.0,250.0,250.0,9000.0
alien_cpt-alpha-omega,73,250.0,250.0,250.0,250.0,250.0,250.0,9125.0
alien_cpt-alpha-omega,74,250.0,250.0,250.0,250.0,250.0,250.0,9250.0
alien_cpt-alpha-omega,75,250.0,250.0,250.0,250.0,250.0,250.0,9375.0
alien_cpt-alpha-omega,76,250.0,250.0,250.0,250.0,250.0,250.0,9500.0
alien_cpt-alpha-omega,77,250.0,250.0,250.0,250.0,250.0,250.0,9625.0
alien_cpt-alpha-omega,78,250.0,250.0,250.0,250.0,250.0,250.0,9750.0
alien_cpt-alpha-omega,79,250.0,250.0,250.0,250.0,250.0,250.0,9875.0
alien_cpt-alpha-omega,80,250,250,250,250,250,250,10000
